signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,15,15,0.002,>100%,距HedgeWall,near,11,0.002640161515763381,-0.000627115415610581,4.21000895535765,0.6363636363636364,0.0,0.002640161515763381,0.0008623671808288792,0.0025,0.002,0.0017481066987097304,0.2727272727272727,0.0
G+做空,positive,True,30,30,0.002,30-50%,距HedgeWall,near,22,0.0022224052723703227,-0.0005305062432207057,4.189216056870681,0.5454545454545454,0.0,0.0022224052723703227,0.0009114468005745357,0.0025,0.002,0.0010859384244338958,0.3181818181818182,0.0
G-做空,negative,True,10,15,0.002,50-70%,距HedgeWall,far,17,0.0016432246327197433,-0.0003931099631702464,4.180063561523376,0.35294117647058826,0.23529411764705882,0.0016432246327197433,0.0008361426740582127,0.003,0.0035,0.0008268343092325139,0.11764705882352941,0.0
G+做空,positive,True,15,30,0.002,50-70%,距Support,near,41,0.002177083089320418,-0.0005213514388100548,4.1758455568655295,0.6097560975609756,0.024390243902439025,0.002177083089320418,0.0010750954147180033,0.0015,0.0025,0.0007018217906966181,0.6585365853658537,0.0
G+做空,positive,True,30,30,0.002,30-50%,距Support,near,23,0.002378161857428936,-0.000571519009601466,4.161124682602046,0.5652173913043478,0.0,0.002378161857428936,0.0009014219768364602,0.0025,0.002,0.001066740263258104,0.30434782608695654,0.0
G+做多,positive,False,30,15,0.001,>100%,距Support,near,62,0.0016036680705174252,-0.0003855331898135098,4.159610930755798,0.3709677419354839,0.04838709677419355,0.0016036680705174252,0.0007761597034403797,0.003,0.002,0.001156581798666532,0.1935483870967742,0.04838709677419355
G+做空,positive,True,15,15,0.002,50-70%,距HedgeWall,near,30,0.0014948584849266214,-0.0003635533233222867,4.111799807703705,0.23333333333333334,0.0,0.0014948584849266214,0.0007572239156662612,0.002,0.002,0.0006841920333248302,0.13333333333333333,0.0
G+做空,positive,True,15,30,0.002,50-70%,距HedgeWall,near,30,0.002148594831035429,-0.0005235998249761202,4.103505632633509,0.5333333333333333,0.03333333333333333,0.002148594831035429,0.0011350373821677753,0.0015,0.0025,0.0004091564472853782,0.5333333333333333,0.0
G-做多,negative,False,10,30,0.001,<30%,距Support,near,28,0.0017627934746195866,-0.0004301513481763569,4.098077297892979,0.42857142857142855,0.21428571428571427,0.0017627934746195866,0.0017158750247704112,0.003,0.002,0.0006353192852872588,0.14285714285714285,0.21428571428571427
G-做空,negative,True,10,15,0.001,70-100%,距Support,far,28,0.0016043897922829922,-0.00039154848614681435,4.097550747984282,0.42857142857142855,0.21428571428571427,0.0016043897922829922,0.0008737682942538505,0.002,0.002,0.0005297763721037248,0.39285714285714285,0.21428571428571427
G+做多,positive,False,10,15,0.001,>100%,距Support,near,38,0.001999735482091714,-0.0004889616507810759,4.089759347992428,0.5,0.0,0.001999735482091714,0.0007761597034403797,0.003,0.002,0.0014376918541507155,0.2631578947368421,0.0
G-做多,negative,False,15,15,0.001,30-50%,距HedgeWall,near,57,0.001596992905926167,-0.000393305266755257,4.06044119139633,0.3157894736842105,0.10526315789473684,0.001596992905926167,0.0009939085901674901,0.003,0.002,0.0006844796604492334,0.08771929824561403,0.08771929824561403
