signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,10,15,0.002,>100%,★★★推荐,距Support,near,15,0.0037320335795620746,-0.00045507119968143424,8.200988289688798,1.0,0.0,0.0037320335795620746,0.0007303358416784111,0.003,0.002,0.0027041710661976377,0.6,0.0
G+做多,positive,False,10,15,0.002,>100%,★★★推荐,距HedgeWall,near,6,0.0029267171673812743,-0.00017440679055392543,16.780981738645966,1.0,0.0,,,,,,,
G+做多,positive,False,10,15,0.002,>100%,★★★推荐,距HedgeWall,far,9,0.004201870378488807,-0.0006042735976119742,6.953589226956394,1.0,0.0,,,,,,,
G+做多,positive,False,10,30,0.0005,<30%,★☆☆观望,距Support,near,335,0.0014331953111331322,-0.0007670337435957889,1.868490562637355,0.3253731343283582,0.12835820895522387,0.0014331953111331322,0.001393524627945543,0.0025,0.0025,0.0005644030415084808,0.15522388059701492,0.0626865671641791
G+做多,positive,False,10,30,0.0005,<30%,★☆☆观望,距Support,medium,392,0.0008039162286539372,-0.0008507460233798224,0.9449544359433606,0.19387755102040816,0.2602040816326531,0.0008039162286539372,0.0020907293037383586,0.003,0.002,-6.109907005574561e-06,0.05612244897959184,0.2423469387755102
G+做多,positive,False,10,30,0.0005,<30%,★☆☆观望,距Support,far,18,0.002063036997153451,-0.001330418775256946,1.5506673804682387,0.5,0.3333333333333333,0.002063036997153451,0.0031575245790421433,0.003,0.0035,0.0007601774503318459,0.0,0.0
G+做多,positive,False,10,30,0.0005,<30%,★☆☆观望,距HedgeWall,near,229,0.0013689583233102575,-0.000822394801998292,1.6645999220616432,0.34934497816593885,0.14847161572052403,0.0013689583233102575,0.0013722416776892838,0.0025,0.002,0.0005058036766234451,0.18340611353711792,0.13100436681222707
G+做多,positive,False,10,30,0.0005,<30%,★☆☆观望,距HedgeWall,medium,269,0.0008590631908485235,-0.0010278365066442642,0.8357975079648019,0.241635687732342,0.2825278810408922,0.0008590631908485235,0.0022061019144805506,0.003,0.002,0.00012385739264709957,0.08178438661710037,0.26022304832713755
G+做多,positive,False,10,30,0.0005,<30%,★☆☆观望,距HedgeWall,far,247,0.0009996536862047632,-0.0007551001809635694,1.3238689532945465,0.19838056680161945,0.1659919028340081,0.0009996536862047632,0.0013258136793005719,0.003,0.002,0.00017073133503951466,0.012145748987854251,0.145748987854251
G+做多,positive,False,10,30,0.0005,30-50%,★☆☆观望,距Support,near,124,0.0010593339107355442,-0.0012960425429326915,0.8173604458527096,0.20967741935483872,0.3064516129032258,0.0010593339107355442,0.0023343328115653025,0.003,0.003,-8.967412431660619e-05,0.08064516129032258,0.12096774193548387
G+做多,positive,False,10,30,0.0005,30-50%,★☆☆观望,距Support,medium,204,0.0006479387912439651,-0.0011135777914030372,0.5818531909006586,0.10784313725490197,0.3284313725490196,0.0006479387912439651,0.0023055878524328452,0.002,0.003,-0.0002661508905553187,0.09803921568627451,0.13725490196078433
G+做多,positive,False,10,30,0.0005,30-50%,★☆☆观望,距Support,far,65,0.0008575648101296846,-0.0012708164296095972,0.6748140723937083,0.23076923076923078,0.24615384615384617,0.0008575648101296846,0.0018253423075604933,0.003,0.002,0.00015653581804219067,0.2153846153846154,0.24615384615384617
