signal,gamma,is_short,lb,hz,th,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做多,negative,False,5,30,0.001,距Support,medium,303,0.001519538204247563,-0.0014631030770461324,1.0385722155101798,0.35973597359735976,0.40264026402640263
G-做多,negative,False,5,30,0.001,距Support,far,230,0.0013732505599468557,-0.0017543114997497552,0.7827860446350285,0.3826086956521739,0.39565217391304347
G-做多,negative,False,5,30,0.0015,距Support,near,77,0.002407105691911593,-0.0014394086164725586,1.6722879551815457,0.5454545454545454,0.4155844155844156
G-做多,negative,False,5,30,0.0015,距Support,medium,144,0.0017019854738509004,-0.0014043415333485887,1.2119455513023196,0.4097222222222222,0.4236111111111111
G-做多,negative,False,5,30,0.0015,距Support,far,104,0.0014833675997572952,-0.001666313262652521,0.8902093219830683,0.40384615384615385,0.36538461538461536
G-做多,negative,False,5,30,0.002,距Support,near,35,0.002938190576911159,-0.001375925987593983,2.135427779839404,0.6,0.4
G-做多,negative,False,5,30,0.002,距Support,medium,72,0.0017496745652998448,-0.0012258854929562534,1.4272740605490493,0.4305555555555556,0.3611111111111111
G-做多,negative,False,5,30,0.002,距Support,far,46,0.0013741565485600158,-0.00176899962772621,0.776798664636404,0.34782608695652173,0.34782608695652173
G-做多,negative,False,10,5,0.0005,距Support,near,409,0.0005810592561249063,-0.0004644811554409491,1.2509856413298088,0.061124694376528114,0.05867970660146699
G-做多,negative,False,10,5,0.0005,距Support,medium,653,0.0006194489132905324,-0.0004825236429206296,1.2837690388415344,0.06431852986217458,0.07350689127105667
G-做多,negative,False,10,5,0.0005,距Support,far,541,0.00044374314642481826,-0.0005978140995899546,0.7422761469312704,0.05730129390018484,0.051756007393715345
G-做多,negative,False,10,5,0.001,距Support,near,248,0.0006129121257290129,-0.0005473853689090414,1.1197086377200192,0.06451612903225806,0.06854838709677419
G-做多,negative,False,10,5,0.001,距Support,medium,444,0.0007207287068677997,-0.000434270403734153,1.6596311898542542,0.07207207207207207,0.07882882882882883
G-做多,negative,False,10,5,0.001,距Support,far,342,0.0004777752841606181,-0.0006760760195142396,0.7066887012260833,0.06432748538011696,0.06432748538011696
G-做多,negative,False,10,5,0.0015,距Support,near,145,0.0006869145022402461,-0.0005708542834350515,1.2033097099785524,0.08275862068965517,0.08275862068965517
G-做多,negative,False,10,5,0.0015,距Support,medium,277,0.0007490625571271613,-0.0004459600479258398,1.6796629218492807,0.08664259927797834,0.08303249097472924
G-做多,negative,False,10,5,0.0015,距Support,far,208,0.0005943885435162911,-0.0007248313791501119,0.8200369915182628,0.07692307692307693,0.08173076923076923
G-做多,negative,False,10,5,0.002,距Support,near,81,0.0008067375353792553,-0.0007089132616661592,1.137991879970167,0.13580246913580246,0.08641975308641975
G-做多,negative,False,10,5,0.002,距Support,medium,171,0.0007639940719993408,-0.0005789013185760973,1.3197310966202487,0.06432748538011696,0.07602339181286549
G-做多,negative,False,10,5,0.002,距Support,far,126,0.0006927250763907353,-0.0007248313791501119,0.9557051423504562,0.09523809523809523,0.0873015873015873
G-做多,negative,False,10,10,0.0005,距Support,near,409,0.0008559318425731289,-0.0006575826181997413,1.3016339223144413,0.17359413202933985,0.13691931540342298
G-做多,negative,False,10,10,0.0005,距Support,medium,653,0.0009026983806726842,-0.0007142440019226844,1.2638515384696218,0.1638591117917305,0.15160796324655437
G-做多,negative,False,10,10,0.0005,距Support,far,541,0.0006837817488883184,-0.0008984442491304117,0.7610730989153068,0.12939001848428835,0.12014787430683918
G-做多,negative,False,10,10,0.001,距Support,near,248,0.0009297715189910947,-0.0006798845398307543,1.367543258481132,0.18548387096774194,0.15725806451612903
G-做多,negative,False,10,10,0.001,距Support,medium,444,0.0010155551912369096,-0.0006732987416342943,1.5083277725603024,0.18468468468468469,0.14864864864864866
G-做多,negative,False,10,10,0.001,距Support,far,342,0.0007784762782195526,-0.0009550274243983433,0.8151349985682181,0.1608187134502924,0.14035087719298245
G-做多,negative,False,10,10,0.0015,距Support,near,145,0.0009914296084977475,-0.0006618183686328478,1.4980388207504645,0.21379310344827587,0.15862068965517243
G-做多,negative,False,10,10,0.0015,距Support,medium,277,0.0010907034363890928,-0.0006968599785900622,1.565168713800846,0.19133574007220217,0.1624548736462094
G-做多,negative,False,10,10,0.0015,距Support,far,208,0.000965377861881867,-0.0009230778500214414,1.0458249668318258,0.18269230769230768,0.14423076923076922
G-做多,negative,False,10,10,0.002,距Support,near,81,0.0009914296084977475,-0.000793801994030609,1.2489633636011224,0.30864197530864196,0.16049382716049382
G-做多,negative,False,10,10,0.002,距Support,medium,171,0.0010381129279764055,-0.0008004826970849654,1.2968586725944151,0.17543859649122806,0.1695906432748538
G-做多,negative,False,10,10,0.002,距Support,far,126,0.0011058675366680953,-0.0009584542902699807,1.1538031055780353,0.19047619047619047,0.12698412698412698
G-做多,negative,False,10,15,0.0005,距Support,near,409,0.0010496125893446726,-0.0007936255511079241,1.3225539272007854,0.24449877750611246,0.20293398533007334
G-做多,negative,False,10,15,0.0005,距Support,medium,653,0.00103177229728824,-0.000903608685846379,1.1418353026584893,0.24961715160796324,0.24196018376722817
G-做多,negative,False,10,15,0.0005,距Support,far,541,0.0008695780771675415,-0.001047737443310227,0.8299580040016439,0.1977818853974122,0.18853974121996303
G-做多,negative,False,10,15,0.001,距Support,near,248,0.0010895570672065215,-0.00086738268243337,1.2561434408049972,0.24596774193548387,0.2217741935483871
G-做多,negative,False,10,15,0.001,距Support,medium,444,0.0011523479526321738,-0.0008389196799717146,1.3736093932985658,0.28153153153153154,0.24324324324324326
G-做多,negative,False,10,15,0.001,距Support,far,342,0.0009968385650042414,-0.0010717632167030653,0.9300921597875831,0.2573099415204678,0.19298245614035087
G-做多,negative,False,10,15,0.0015,距Support,near,145,0.0011730950055781435,-0.000855061100611664,1.3719428994477416,0.2827586206896552,0.25517241379310346
G-做多,negative,False,10,15,0.0015,距Support,medium,277,0.001224322615687357,-0.0008962669125113128,1.3660245609835602,0.3104693140794224,0.27075812274368233
G-做多,negative,False,10,15,0.0015,距Support,far,208,0.0013111051682487404,-0.001021968361302819,1.2829214855314364,0.3173076923076923,0.1778846153846154
G-做多,negative,False,10,15,0.002,距Support,near,81,0.0012226956313009536,-0.0009383553108658542,1.303019887181891,0.35802469135802467,0.2345679012345679
G-做多,negative,False,10,15,0.002,距Support,medium,171,0.0011525966801654765,-0.0009468340612999286,1.217316452032843,0.29239766081871343,0.30409356725146197
