signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G-做多,negative,False,10,30,0.0015,<30%,★☆☆观望,距Support,near,17,0.002046381625217191,-0.00038610556633042367,5.3000572995260224,0.5294117647058824,0.17647058823529413,0.002046381625217191,0.0006618183686328478,0.003,0.002,0.0008831872672608843,0.23529411764705882,0.17647058823529413
G-做空,negative,True,10,15,0.0005,70-100%,★★★推荐,距Support,far,31,0.001790550639385816,-0.0003378941535300928,5.299146554266585,0.3870967741935484,0.1935483870967742,0.001790550639385816,0.0008175942879003156,0.002,0.002,0.0006126122647320659,0.3548387096774194,0.1935483870967742
G+做空,positive,True,10,15,0.002,30-50%,★☆☆观望,距Support,medium,14,0.0017288553852836288,-0.00032720029578274805,5.283783075891658,0.42857142857142855,0.0,0.0017288553852836288,0.0008066835800106055,0.003,0.002,0.0010731149442387198,0.21428571428571427,0.0
G-做多,negative,False,30,15,0.0015,30-50%,★☆☆观望,距HedgeWall,near,42,0.0017700070822822796,-0.0003367435967240234,5.2562456999973195,0.35714285714285715,0.023809523809523808,0.0017700070822822796,0.0007389885888744263,0.003,0.002,0.001027101040513299,0.09523809523809523,0.0
G-做空,negative,True,15,15,0.0015,50-70%,★★☆可选,距HedgeWall,medium,22,0.001559999022048657,-0.00029723632265411397,5.248345855307821,0.2727272727272727,0.0,0.001559999022048657,0.0005236394238890633,0.003,0.002,0.0010720734934446122,0.13636363636363635,0.0
G-做空,negative,True,15,30,0.001,50-70%,★★☆可选,距HedgeWall,medium,30,0.0017513717292012986,-0.00033540936275166947,5.221594635382853,0.36666666666666664,0.0,0.0017513717292012986,0.0006041008008026609,0.0015,0.002,0.0009499652332340337,0.5666666666666667,0.0
G+做多,positive,False,10,30,0.001,>100%,★★★推荐,距Support,near,38,0.0028048340997848466,-0.0005391008576250165,5.202800292586088,0.5789473684210527,0.05263157894736842,0.0028048340997848466,0.000996523884642948,0.003,0.002,0.001794884167261468,0.47368421052631576,0.0
G-做空,negative,True,10,30,0.001,50-70%,★★☆可选,距HedgeWall,medium,25,0.001703349570028253,-0.0003277855380419612,5.1965366751787565,0.32,0.08,0.001703349570028253,0.0006500358410172777,0.003,0.004,0.001133436860697343,0.16,0.0
G-做多,negative,False,30,15,0.002,30-50%,★☆☆观望,距HedgeWall,near,31,0.0017715097433035117,-0.0003418854683680585,5.181588301367591,0.3225806451612903,0.03225806451612903,0.0017715097433035117,0.0007181602995064498,0.0015,0.002,0.0009296252338379332,0.7096774193548387,0.0
G-做多,negative,False,15,30,0.0015,30-50%,★☆☆观望,距HedgeWall,near,38,0.002630861423243978,-0.0005112123077214462,5.146318630257831,0.631578947368421,0.2631578947368421,0.002630861423243978,0.0020338455152948826,0.0025,0.002,0.0009775084831180776,0.5526315789473685,0.2631578947368421
G+做空,positive,True,30,15,0.002,50-70%,★★☆可选,距HedgeWall,medium,27,0.001022821709390663,-0.00019880192603978852,5.14492857169781,0.1111111111111111,0.0,0.001022821709390663,0.0003211419209136712,0.0025,0.002,0.0003890105911457639,0.1111111111111111,0.0
