signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G+做多,positive,False,15,15,0.002,>100%,距HedgeWall,near,11,0.002640161515763381,-0.000627115415610581,4.21000895535765,0.6363636363636364,0.0
G+做空,positive,True,30,30,0.002,30-50%,距HedgeWall,near,22,0.0022224052723703227,-0.0005305062432207057,4.189216056870681,0.5454545454545454,0.0
G-做空,negative,True,10,15,0.002,50-70%,距HedgeWall,far,17,0.0016432246327197433,-0.0003931099631702464,4.180063561523376,0.35294117647058826,0.23529411764705882
G+做空,positive,True,15,30,0.002,50-70%,距Support,near,41,0.002177083089320418,-0.0005213514388100548,4.1758455568655295,0.6097560975609756,0.024390243902439025
G+做空,positive,True,30,30,0.002,30-50%,距Support,near,23,0.002378161857428936,-0.000571519009601466,4.161124682602046,0.5652173913043478,0.0
G+做多,positive,False,30,15,0.001,>100%,距Support,near,62,0.0016036680705174252,-0.0003855331898135098,4.159610930755798,0.3709677419354839,0.04838709677419355
G+做空,positive,True,15,15,0.002,50-70%,距HedgeWall,near,30,0.0014948584849266214,-0.0003635533233222867,4.111799807703705,0.23333333333333334,0.0
G+做空,positive,True,15,30,0.002,50-70%,距HedgeWall,near,30,0.002148594831035429,-0.0005235998249761202,4.103505632633509,0.5333333333333333,0.03333333333333333
G-做多,negative,False,10,30,0.001,<30%,距Support,near,28,0.0017627934746195866,-0.0004301513481763569,4.098077297892979,0.42857142857142855,0.21428571428571427
G-做空,negative,True,10,15,0.001,70-100%,距Support,far,28,0.0016043897922829922,-0.00039154848614681435,4.097550747984282,0.42857142857142855,0.21428571428571427
G+做多,positive,False,10,15,0.001,>100%,距Support,near,38,0.001999735482091714,-0.0004889616507810759,4.089759347992428,0.5,0.0
G-做多,negative,False,15,15,0.001,30-50%,距HedgeWall,near,57,0.001596992905926167,-0.000393305266755257,4.06044119139633,0.3157894736842105,0.10526315789473684
G+做多,positive,False,30,15,0.001,>100%,距HedgeWall,near,49,0.001469667000070258,-0.0003624112428021534,4.055246710082266,0.20408163265306123,0.061224489795918366
G+做多,positive,False,15,15,0.002,70-100%,距Support,near,30,0.0016344778684442406,-0.0004036089665840054,4.0496569793229495,0.4,0.2
G+做空,positive,True,15,30,0.002,30-50%,距HedgeWall,far,28,0.002866104998403866,-0.0007091018336862897,4.041880675310517,0.5714285714285714,0.10714285714285714
G-做空,negative,True,15,30,0.001,50-70%,距Support,medium,19,0.002348031037942611,-0.0005819598388326306,4.03469600694885,0.5789473684210527,0.10526315789473684
G+做多,positive,False,30,30,0.001,70-100%,距Support,far,19,0.002413159823297685,-0.0006006424649772457,4.017631060083478,0.8421052631578947,0.0
G+做多,positive,False,15,15,0.001,>100%,距Support,near,57,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.42105263157894735,0.0
G+做多,positive,False,15,30,0.001,>100%,距HedgeWall,near,45,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.37777777777777777,0.0
G-做多,negative,False,15,30,0.002,50-70%,距HedgeWall,far,35,0.0035884010302670868,-0.0009001460270619692,3.9864654427009416,0.6285714285714286,0.37142857142857144
G-做多,negative,False,10,15,0.001,<30%,距Support,near,28,0.0016121379873111144,-0.0004063407764125827,3.9674531351345648,0.32142857142857145,0.21428571428571427
G+做空,positive,True,30,15,0.002,30-50%,距Support,medium,71,0.0011957097221313323,-0.0003053671565204136,3.9156461217249463,0.323943661971831,0.028169014084507043
G-做多,negative,False,30,15,0.002,50-70%,距Support,medium,31,0.001224322615687357,-0.0003132743704448024,3.908148036333146,0.2903225806451613,0.03225806451612903
G-做多,negative,False,30,15,0.001,30-50%,距HedgeWall,near,63,0.0016921395772154335,-0.00043863285224401467,3.857758415856375,0.30158730158730157,0.07936507936507936
G+做空,positive,True,15,30,0.002,50-70%,距HedgeWall,far,27,0.0027703405137616704,-0.0007247832719425369,3.822301950121873,0.6666666666666666,0.0
G+做多,positive,False,15,30,0.002,70-100%,距HedgeWall,near,12,0.0019101305318645332,-0.0004997496250507838,3.822175017480861,0.5,0.16666666666666666
G+做空,positive,True,15,30,0.002,30-50%,距HedgeWall,medium,22,0.0022155538101426243,-0.0005875219696201303,3.7710144040658062,0.5909090909090909,0.045454545454545456
G-做多,negative,False,30,15,0.002,<30%,距Support,far,17,0.002187988187288092,-0.0005818656386539043,3.760297982795157,0.5294117647058824,0.0
G+做空,positive,True,10,30,0.002,50-70%,距HedgeWall,far,10,0.002793468943355858,-0.0007517052673232604,3.7161758268677474,0.9,0.0
G+做多,positive,False,30,30,0.001,>100%,距HedgeWall,near,49,0.0015908073421877114,-0.0004281773519543075,3.7153000618245513,0.40816326530612246,0.061224489795918366
G+做空,positive,True,30,15,0.002,30-50%,距HedgeWall,far,41,0.0015991494569463428,-0.0004307449697748179,3.7125203290994575,0.4146341463414634,0.0975609756097561
G-做空,negative,True,10,30,0.001,50-70%,距Support,medium,11,0.002348031037942611,-0.0006500358410172777,3.6121562685959665,0.6363636363636364,0.18181818181818182
G-做多,negative,False,15,15,0.002,30-50%,距HedgeWall,near,31,0.0015707026416635688,-0.00043863285224401467,3.580905154796238,0.2903225806451613,0.03225806451612903
G-做多,negative,False,15,30,0.002,<30%,距HedgeWall,far,165,0.0026772566367662854,-0.0007516848500646413,3.5616743327154383,0.6,0.26666666666666666
G+做多,positive,False,30,30,0.001,70-100%,距HedgeWall,far,51,0.002727099422710565,-0.0007710637565929388,3.5368014634232896,0.803921568627451,0.21568627450980393
G+做多,positive,False,15,30,0.002,70-100%,距HedgeWall,medium,13,0.0025033504807719965,-0.0007184107758689851,3.4845669982385212,0.6153846153846154,0.0
G+做空,positive,True,10,30,0.002,30-50%,距HedgeWall,far,14,0.002866104998403866,-0.0008248922477748614,3.4745204675339787,0.7857142857142857,0.14285714285714285
G-做多,negative,False,15,30,0.002,<30%,距Support,medium,94,0.002188657369880581,-0.0006320372684358454,3.462861257053768,0.5212765957446809,0.24468085106382978
G-做多,negative,False,15,15,0.002,50-70%,距HedgeWall,far,35,0.002449221529680224,-0.0007089132616661592,3.4548959119819784,0.5714285714285714,0.22857142857142856
G+做空,positive,True,15,15,0.002,30-50%,距Support,medium,40,0.0010541737631994696,-0.00030523095896475074,3.453692137831961,0.375,0.0
G-做多,negative,False,10,15,0.002,>100%,距Support,near,18,0.0028155795931692246,-0.0008301380326007795,3.3917005155734876,0.6666666666666666,0.2222222222222222
G-做多,negative,False,10,15,0.001,<30%,距Support,far,24,0.0021172408156457053,-0.0006277220666131822,3.3728953118839473,0.5416666666666666,0.08333333333333333
G-做多,negative,False,15,15,0.001,50-70%,距Support,medium,30,0.0014955627855517649,-0.00044434324904197924,3.3657826213771775,0.36666666666666664,0.1
G-做空,negative,True,15,15,0.001,70-100%,距Support,far,28,0.0013409126281862004,-0.00040806032864807384,3.2860646675179557,0.39285714285714285,0.25
G-做多,negative,False,15,30,0.001,30-50%,距HedgeWall,near,57,0.0022886935536882485,-0.0006992220029859262,3.273200133741093,0.543859649122807,0.24561403508771928
G+做多,positive,False,30,30,0.002,30-50%,距HedgeWall,medium,22,0.0016215014040141984,-0.0004969406120985503,3.2629681787662626,0.13636363636363635,0.0
G-做空,negative,True,15,15,0.002,70-100%,距Support,far,21,0.002167330001000196,-0.0006731852426877679,3.219515021373444,0.5238095238095238,0.23809523809523808
G-做多,negative,False,15,30,0.001,50-70%,距Support,medium,30,0.0016487124198037132,-0.0005185093185165112,3.179716084024847,0.4,0.13333333333333333
G+做多,positive,False,10,30,0.001,>100%,距HedgeWall,near,27,0.0016418838897993197,-0.000517358421727727,3.1735907271330803,0.4074074074074074,0.0
G+做多,positive,False,10,30,0.002,70-100%,距HedgeWall,medium,10,0.0024418098588109964,-0.0007967813051609691,3.0645923078198876,0.6,0.0
G+做空,positive,True,30,30,0.002,<30%,距HedgeWall,medium,93,0.0016034906870834118,-0.000533453702373917,3.005866638375053,0.2903225806451613,0.25806451612903225
G+做空,positive,True,10,30,0.002,50-70%,距HedgeWall,near,12,0.0021807352875320395,-0.000729032268066386,2.9912740259303043,0.5833333333333334,0.08333333333333333
G-做多,negative,False,10,15,0.002,30-50%,距HedgeWall,near,14,0.0014397790126972954,-0.00048441622530701284,2.9721940295967455,0.42857142857142855,0.21428571428571427
G+做多,positive,False,10,15,0.001,>100%,距HedgeWall,near,27,0.0015355069187345221,-0.000517358421727727,2.967975110188932,0.2962962962962963,0.0
G+做空,positive,True,10,15,0.002,50-70%,距HedgeWall,far,10,0.002229963609826681,-0.0007517052673232604,2.966539821873719,0.7,0.0
G-做多,negative,False,30,15,0.001,30-50%,距HedgeWall,medium,47,0.0012052217246858628,-0.0004064306358381229,2.9653810968272825,0.19148936170212766,0.1276595744680851
G+做多,positive,False,10,15,0.001,70-100%,距HedgeWall,far,19,0.0016879650998663385,-0.0005743867149443394,2.9387258722199205,0.47368421052631576,0.2631578947368421
G-做多,negative,False,15,30,0.002,70-100%,距Support,far,12,0.003524884184309318,-0.0012039803048413018,2.9276925628562815,0.5833333333333334,0.4166666666666667
